R_Ctrl_1	R_Ctrl_2	R_Ctrl_3	R_Ima_1	R_Ima_2	R_Ima_3	S_Ctrl_1	S_Ctrl_2	S_Ctrl_3	S_Ima_1	S_Ima_2	S_Ima_3
19.602472338894618	19.62660917643709	19.19884786547368	19.359073910825057	19.876773220398555	19.120637827894075	19.30535150941833	18.65441226814894	19.251812922566714	17.307716676797558	19.401144098392518	19.830708615466712
21.05589736611294	21.095067945667196	21.30452122426101	21.0492642768302	21.120603026475035	21.029180040107	21.1142615023887	21.151899143386018	21.088612926418058	20.89504343314248	20.938764788486925	20.872675631674078
20.42726475513585	20.342995899783343	20.406654490182685	20.477537926576417	20.145694618379107	20.437460515036197	17.450566907739958	17.459655741526067	17.610549086129932	17.363937953992938	17.075343347253163	17.591171681377787
NA	20.747144817899606	20.42726475513585	21.293337490103156	20.406654490182685	21.78356780607508	21.636440976324952	21.709777566333	21.57311506081388	21.164229940027102	20.747144817899606	20.90976493133815
19.832828219776623	19.931570012018494	19.830625066180176	19.829614355486346	20.015634195145065	19.802710408589324	19.664697267805746	19.643935437203666	19.64222096041962	19.436886371141572	19.114182056676775	19.183790434946513
16.244492057418295	NA	16.255679598423892	15.58942292800013	15.427250635082752	14.644706903558303	18.349471299247757	18.190818153867063	17.91957332525874	19.032201812372055	19.01671308982441	19.25175976841216
18.90310807682581	18.955973360760602	19.19973224503313	18.95564706989844	19.002227175158044	18.972744252258526	19.40502509061842	19.422697186748017	19.54804483912267	18.5312367572832	18.30638215776646	18.464689323508253
20.170356651533687	19.29177775132637	19.866316034596853	19.47596690654155	19.672976012989135	20.04260121754104	19.807804562044478	19.888584220765907	19.974214307406786	19.299270634000703	19.41893760489123	19.783242863460835
23.323886129502455	23.310080331298575	23.377824931571077	23.25349680848103	23.267852100029693	23.219927279183644	24.019031495438924	24.027493073690838	24.052584053199045	24.316999675546164	24.316999675546164	24.202097586455928
18.72714935089676	18.199864016712304	18.573954076623863	18.366070301251433	18.507000958227426	18.56160866091405	20.194604177403335	20.321136482380403	20.321136482380403	20.618630153747663	20.627563272986293	20.688592669497087
19.102557566659748	18.86078691931255	19.11191760429028	19.110083083425728	18.903190475007044	18.95189083376546	NA	NA	NA	NA	NA	NA
17.25712998505849	16.778770171441455	17.408868726589397	16.84430120000895	16.60591061852241	17.39797538586772	19.865209186378213	20.08212954562423	19.960139135927154	20.120603659235602	20.06907340461446	19.696524424255937
20.194604177403335	20.133203685010706	20.353802646644912	20.120603659235602	20.145694618379107	20.015634195145065	20.194604177403335	20.0558980278992	20.120603659235602	19.73001398206899	19.60802194506452	19.625899653687032
17.295661330837323	17.367389154377044	17.210033936596457	17.6540905517904	17.451991823650733	17.409274905905654	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	15.921971071221702	15.056807035580608	15.973535941867366	15.96805474183544	15.136590663791404	16.4872732301752
