UNIPROT	Genes	R_Ctrl_1	R_Ctrl_2	R_Ctrl_3	R_Ima_1	R_Ima_2	R_Ima_3	S_Ctrl_1	S_Ctrl_2	S_Ctrl_3	S_Ima_1	S_Ima_2	S_Ima_3
P01023	A2M	1.0207240377420077	1.02379826523699	1.001984832697818	1.0093275992501565	1.036633139872522	0.9970266140054088	1.0170977084526978	0.98179247904778	1.0139300014771753	0.9152624792988328	1.0270087811939197	1.0448267672171776
Q9NRG9	AAAS	1.0964056067139976	1.100398636039439	1.1118795921596625	1.0974493654179995	1.1015025823641658	1.0965456466159766	1.1123996876862674	1.1132366540441128	1.110668248317046	1.104966623547328	1.1084034630159698	1.0997252103440045
Q86V21	AACS	1.0636719593536248	1.061167709852071	1.065020069357344	1.0676411634767369	1.0506581946475797	1.0656910213763535	0.9193788367129072	0.9189117538193362	0.9274900048495271	0.9182355592559464	0.9038914133410906	0.9268315820586098
Q6PD74	AAGAB	1.0946187679770267	1.0822496480282071	1.0660957158245516	1.1101746554566057	1.0642680320336022	1.1358824452479237	1.1399105851740696	1.1425981172732478	1.1361853906152557	1.1192016791751629	1.0982599688257688	1.1016793459131256
Q2M2I8	AAK1	1.032718942302335	1.0397061773794656	1.034957184850814	1.0338602530097205	1.0438751547942149	1.0325926093324285	1.0360297515817611	1.0338716542721975	1.0344915155532286	1.027856715135019	1.0118183091672814	1.010742386052918
Q9H7C9	AAMDC	0.8458700125808205	0.8328723427582296	0.848381346471711	0.8127886122081095	0.8045772363611805	0.7636336543049581	0.9667373940680846	0.957393253374511	0.9437653005059208	1.0064562843612772	1.006658743095115	1.0143235076523462
Q13685	AAMP	0.9843073092248136	0.9888153612354328	1.00203098832711	0.9882940597998088	0.99102294938595	0.9893148508165286	1.022348986627168	1.0222277575225844	1.0295315673556331	0.9799643717118532	0.9690570376968431	0.97285488015813
Q9Y312	AAR2	1.0502944489914687	1.006332190017704	1.0368198908459023	1.015422070880316	1.0260045063075292	1.0451014766167208	1.0435693242728914	1.0467476608843014	1.0519765189736872	1.0205793530705625	1.027950688914914	1.0423259242476457
P49588	AARS	1.214502477766692	1.215942070847852	1.2200849846320292	1.2123718425782413	1.2134880401910422	1.2107799792558545	1.2654367821971957	1.2645808214714185	1.2667709104945195	1.2859256843501436	1.2872319319119332	1.275143509567234
Q5JTZ9	AARS2	0.975144929189216	0.9493738342856078	0.9693717247206148	0.9575551873096636	0.9651954218234212	0.9678765949264824	1.0639477671217537	1.0695131359442327	1.0702477749223227	1.0903494034868	1.091929862927278	1.0900263735550286
Q9BTE6	AARSD1	0.9946928812623232	0.9838500759560176	0.9974479561196734	0.9963459186588268	0.985857889428694	0.988227470080712	0.9812110806344041	0.9743228995470976	0.9740338063169648	0.9671633059697814	0.949863570704718	0.9872274562800344
Q9NRN7	AASDHPPT	0.8985992732782436	0.8752441972990025	0.908566104627528	0.8782144316182833	0.8660478777941288	0.9072000968616032	1.0465936728239107	1.0569340629842063	1.051235225740861	1.0640128870857264	1.062365936381666	1.0377569626311198
Q9NY61	AATF	1.0515570464885104	1.0502241533969747	1.062261740004664	1.049031615891727	1.0506581946475797	1.043695308094976	1.0639477671217537	1.055553483073875	1.0596863672000871	1.0433578184254395	1.0379599583043582	1.0340359331838205
Q9BZC7	ABCA2	0.9006056462582971	0.9059487926877212	0.8981889483949466	0.9204345680822944	0.9101735417806356	0.9077892990788468	0.9817011623546432	1.0063177778832537	0.998350107268482	1.0361669322865203	1.020670870009817	1.0026838831185463
Q99758	ABCA3	0.9544110867783808	0.9717703334998158	0.9574192812328095	0.9201196340226586	0.9609393887713301	0.9280006329295252	0.838845140047785	0.7924484402677785	0.8412738782719266	0.8444188014808658	0.8012626188545079	0.8686701379836119
Q9NRK6	ABCB10	1.0256748254962182	1.0125276221902304	1.0135202481452548	1.0241000161182	1.0121263551297714	1.0142575214630298	1.07119210078117	1.06410873448771	1.0713990389206174	1.1182214659026808	1.115301376812596	1.1284039837344382
Q9NP58	ABCB6	0.9928104889678742	0.9614115779493628	0.9671621867429284	0.994745449794182	0.9524063196775564	0.9830199860193528	1.0034420994430024	1.003127640393248	1.0175704315536602	1.0605911395688543	1.072737056970977	1.0839421929149924
O75027	ABCB7	1.011852409587907	1.0180627965909608	1.0387429030379698	1.027346726802051	1.0095309000728552	1.0224631754108535	0.9989689019842276	1.0032993218463293	0.9955746219388882	1.0316872755114097	1.018670552792817	1.033703375878004
Q9NUT2	ABCB8	0.9330771217085648	0.9172833127664568	0.919072956679098	0.9206399666028102	0.9088219721225536	0.9299790723184104	0.978514529239326	0.9743991179707814	0.9900961587012356	0.999697713804533	0.997111756243276	1.0179603844608267
P33527	ABCC1	1.0039102354842475	1.0034594189006698	0.9946597795358436	1.0126836867214588	0.9750258655088112	1.0087533242410165	0.9841931336499954	0.9750531031183588	0.9774776018076282	0.9893961138807524	0.9927931839243436	0.995782771269854
O15439	ABCC4	0.8854231160589783	0.8793267001727125	0.8995843517397267	0.917204422080354	0.8752441488166636	0.9048360413486836	0.9322712687068196	0.9319456878188648	0.9349928375987512	0.960108345241698	0.9529168795074432	0.9500912399508422
P33897	ABCD1	0.9561258960116954	0.9698663654789135	0.9976165318414953	0.9750983251705555	0.9577457140289903	0.9306152801763341	0.9125968931104907	0.9094969345794602	0.92089616683967	0.963910854908652	0.9736402365571192	0.9745152156690224
