UNIPROT	Genes	R_Ctrl_1	R_Ctrl_2	R_Ctrl_3	R_Ima_1	R_Ima_2	R_Ima_3	S_Ctrl_1	S_Ctrl_2	S_Ctrl_3	S_Ima_1	S_Ima_2	S_Ima_3
Q9NZE8	MRPL35	NA	135096	NA	NA	122820	NA	182422	282034	199881	261132	207950	264447
Q9BZE1	MRPL37	624270	466682	519702	635869	591936	456746	996765	1010000	948749	1240000	1200000	1150000
Q96DV4	MRPL38	567755	618691	709803	636926	605148	649863	818730	833696	791437	894108	900684	885612
Q9NYK5	MRPL39	873777	892237	729083	896147	755108	831117	1440000	1520000	1470000	1760000	1760000	1620000
Q9BYD3	MRPL4	401505	467780	375525	485270	408603	377262	798395	876087	792705	904844	1030000	888606
Q9NQ50	MRPL40	NA	NA	NA	NA	NA	NA	460628	744356	504642	595311	418248	381305
Q8IXM3	MRPL41	354594	141850	450582	190381	254655	312536	547435	607787	523087	376143	360648	358739
Q8N983	MRPL43	116750	93570.3	155107	151096	87302.7	390428	493664	513851	403691	591259	605861	661306
Q9H9J2	MRPL44	867675	761353	778739	852967	775940	722160	1210000	1170000	1190000	1330000	1380000	1280000
Q9BRJ2	MRPL45	415587	300009	444492	592031	395850	442951	904409	983391	829472	952566	835709	1110000
Q9H2W6	MRPL46	721885	596522	656290	578135	650719	477657	899863	993253	822926	1010000	1060000	944897
Q9HD33	MRPL47	411944	438031	373326	438891	359810	573725	1210000	1400000	1070000	1080000	1050000	1110000
Q96GC5	MRPL48	578432	550944	523999	457675	569090	537199	829722	846950	772178	1080000	944202	786636
Q13405	MRPL49	NA	NA	NA	NA	NA	NA	887700	593979	546248	759963	673383	800081
Q8N5N7	MRPL50	NA	NA	NA	155292	NA	NA	480767	369912	242388	474472	447683	495346
Q4U2R6	MRPL51	NA	NA	NA	NA	NA	NA	NA	36645.6	18079.1	44163.5	32200.4	33913.4
Q96EL3	MRPL53	360063	248753	286547	251884	302863	449423	538267	528821	425564	530809	606732	537179
Q6P161	MRPL54	NA	NA	NA	NA	NA	NA	188254	264273	223289	255781	NA	84967.7
Q7Z7F7	MRPL55	110473	185638	206731	NA	177542	260370	570861	586033	511644	616415	601179	515032
Q9BYD2	MRPL9	592615	676087	723146	624028	697815	643434	845149	896787	755163	1080000	1140000	1160000
P82664	MRPS10	344625	255896	368322	347747	302818	413388	491410	494799	499887	414472	505740	696920
P82912	MRPS11	NA	NA	NA	NA	NA	NA	2300000	2420000	2250000	3250000	3330000	3250000
O15235	MRPS12	123270	174679	101666	188468	177837	121436	380974	375552	337934	396597	450354	410599
O60783	MRPS14	NA	49910	87227.9	59885.6	118629	117918	173784	190466	108331	185364	163035	109864
P82914	MRPS15	NA	NA	NA	NA	NA	782666	645835	549664	444368	445262	504507	661234
Q9Y3D3	MRPS16	1370000	1220000	1350000	1200000	1100000	1550000	1710000	1980000	1270000	2150000	2330000	1850000
Q9NVS2	MRPS18A	NA	234439	284883	307412	NA	183187	276053	413452	234945	389938	288830	289076
Q9Y676	MRPS18B	NA	NA	NA	NA	NA	269803	563725	641678	472220	654338	515639	559579
Q9Y399	MRPS2	339704	206293	604194	43220.9	272932	946809	929237	1040000	896619	996607	869359	1000000
P82921	MRPS21	63119.3	79056.6	59268.7	166741	NA	124679	160454	164036	97712	177605	191929	205183
P82650	MRPS22	914047	915024	819029	742289	860498	731040	1020000	1050000	1010000	1140000	1070000	1160000
Q9Y3D9	MRPS23	539207	498775	607295	459671	514355	658388	1270000	1350000	1160000	1260000	1140000	1270000
Q96EL2	MRPS24	NA	NA	162496	NA	NA	213383	418373	476409	383571	507474	523037	493399
P82663	MRPS25	747607	870951	727611	675999	791146	712948	954846	900587	839809	940978	971990	912479
Q9BYN8	MRPS26	NA	NA	NA	NA	NA	NA	637156	495608	210124	333371	456413	373971
Q92552	MRPS27	612586	775585	321831	1010000	876095	988776	1210000	1210000	1200000	1170000	1150000	1200000
